COMPANY NAME,RATING,REVIEWS,INDUSTRY,INDIA HQ,BRANCHES,PACKAGE,Highly_rated_for,Critically_rated_for
Drydocks World Dubai,3.9,-258,Ports & Shipping,Dubai,17 other locations,501,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Kirloskar Electric Company,3.6,-259,Electrical Equipment,Bangalore / Bengaluru,21 other locations,1k,"Job Security, Company Culture, Salary & Benefits",
Gracure Pharmaceuticals,3.5,-258,Pharma,Bhiwadi,13 other locations,1k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Ummeed Housing Finance,3.9,-258,Financial Services,Gurgaon / Gurugram,68 other locations,1.1k,"Job Security, Work Life Balance",Promotions / Appraisal
Reliance Fresh,4.3,-258,Retail,New Delhi,60 other locations,558,"Salary & Benefits, Job Security, Skill Development / Learning",
Propel Industries,3.8,-258,Industrial Machinery,Coimbatore,22 other locations,1.5k,"Job Security, Promotions / Appraisal, Skill Development / Learning",
Cargo Service Center India,3.6,-257,Logistics,New Delhi,11 other locations,794,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Himalaya Opticals,4.4,-257,Retail,Kolkata,52 other locations,539,"Skill Development / Learning, Company Culture, Work Life Balance",
Eastern Software Solutions Pvt. Ltd,3.7,-257,IT Services & Consulting,Noida,8 other locations,1k,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
BARC,4.3,-257,Defence & Aerospace,Mumbai,24 other locations,948,"Work Satisfaction, Work Life Balance, Promotions / Appraisal",
Confederation of Indian Industry,3.2,-257,Law Enforcement & Security,New Delhi,40 other locations,1.4k,"Promotions / Appraisal, Salary & Benefits",
Duroshox,3.3,-257,Auto Components,Pune,3 other locations,970,"Skill Development / Learning, Salary & Benefits, Promotions / Appraisal",
Zee Media Corporation,3.5,-258,Broadcasting,Noida,19 other locations,1.3k,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Emmvee Photovoltaic Power,3.7,-257,Power,Bangalore / Bengaluru,13 other locations,942,"Work Life Balance, Skill Development / Learning, Job Security",
Zee Media Corporation,3.5,-258,Broadcasting,Noida,19 other locations,1.3k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
BARC,4.3,-257,Defence & Aerospace,Mumbai,24 other locations,948,"Promotions / Appraisal, Company Culture, Work Satisfaction",
NIFTEL COMMUNICATIONS,3.1,-257,BPO,Lucknow,15 other locations,637,"Skill Development / Learning, Work Life Balance, Company Culture",
Omega Healthcare Solutions,3.7,-257,Healthcare,Chennai,8 other locations,1.8k,"Promotions / Appraisal, Job Security",
Xtancia Technosoft,4,-257,Software Product,Chennai,2 other locations,42,"Job Security, Work Life Balance",
UNICEF,4,-256,Non-Profit,New Delhi,59 other locations,688,"Company Culture, Skill Development / Learning, Work Life Balance",
Nalco,4.1,-256,Metals & Mining,Bhubaneswar,15 other locations,758,"Job Security, Promotions / Appraisal",
Dnata,3.2,-256,Aviation,Bangalore / Bengaluru,19 other locations,961,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Jbm Auto Components,4,-256,Auto Components,Chennai,36 other locations,1.2k,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal
Kosamattam Finance,3.7,-256,NBFC,Kottayam,80 other locations,805,"Salary & Benefits, Company Culture, Skill Development / Learning",Job Security
Aqualite India,3.8,-257,Fashion & Textile,New Delhi,37 other locations,837,Job Security,"Promotions / Appraisal, Salary & Benefits"
Interface Microsystems,3.6,-256,Auto Components,Gurgaon / Gurugram,9 other locations,1.1k,"Job Security, Promotions / Appraisal, Salary & Benefits",
Lee Pharma,3.5,-256,Pharma,Hyderabad / Secunderabad,7 other locations,1.2k,"Skill Development / Learning, Work Life Balance, Job Security",
Reliable Autotech,4.2,-256,Auto Components,Pune,5 other locations,1.1k,Skill Development / Learning,"Promotions / Appraisal, Job Security, Work Satisfaction"
Nippon Express,3.9,-255,Logistics,Bangalore / Bengaluru,34 other locations,1.2k,"Promotions / Appraisal, Salary & Benefits, Job Security",
ICFAI Business School,3.5,-255,Education & Training,Hyderabad / Secunderabad,55 other locations,952,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
SHL,3.4,-255,Software Product,Gurgaon / Gurugram,15 other locations,1.9k,"Job Security, Promotions / Appraisal, Company Culture",
Apex CoVantage,3.1,-255,IT Services & Consulting,Hyderabad / Secunderabad,10 other locations,1.2k,Salary & Benefits,"Promotions / Appraisal, Job Security"
Avanze Technologies,3.1,-255,IT Services & Consulting,Bangalore / Bengaluru,4 other locations,1.3k,"Company Culture, Work Life Balance, Work Satisfaction",
Altruist Customer Management India,3.6,-255,BPO,Chennai,13 other locations,1.1k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Rakon,3.7,-256,Electronics Manufacturing,Bangalore / Bengaluru,4 other locations,1k,"Salary & Benefits, Work Life Balance, Company Culture",
Fashion TV,3.1,-255,Retail,Mumbai,13 other locations,456,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Brink's,4.1,-255,Logistics,Mumbai,47 other locations,644,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
HyperCITY,4.6,-255,Retail,Mumbai,21 other locations,389,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Gap,3.6,-255,Retail,Hyderabad / Secunderabad,25 other locations,1.9k,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
MindCraft Software,3.5,-255,IT Services & Consulting,Mumbai,6 other locations,1.8k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Black Box Corporation,2.8,-255,IT Services & Consulting,Bangalore / Bengaluru,17 other locations,1.6k,Salary & Benefits,"Job Security, Work Life Balance, Work Satisfaction"
Transworld Systems,3.2,-255,Financial Services,Bangalore / Bengaluru,5 other locations,1.2k,"Job Security, Company Culture, Work Satisfaction",
Nesma & Partners,4.1,-255,Engineering & Construction,Mumbai,24 other locations,475,"Work Life Balance, Company Culture, Work Satisfaction","Salary & Benefits, Promotions / Appraisal"
Rosenberger Electronic,3.9,-255,Electronics Manufacturing,Gurgaon / Gurugram,31 other locations,1.1k,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",
TimesPro,3.4,-255,Mumbai +21 other locations,,,1.3k,"Company Culture, Skill Development / Learning, Work Life Balance",
Healthium Medtech,3.3,-255,Medical Equipment,Bangalore / Bengaluru,42 other locations,1.1k,"Work Life Balance, Company Culture, Skill Development / Learning",
GrapplTech,4.8,-254,IT Services & Consulting,Bangalore / Bengaluru,11 other locations,13,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Liberty Shoes,3.9,-254,Fashion & Textile,Karnal,46 other locations,876,"Promotions / Appraisal, Job Security, Work Life Balance",
Sequential Technology International,4.1,-254,BPO,Gurgaon / Gurugram,4 other locations,897,"Promotions / Appraisal, Salary & Benefits, Company Culture",
ATC Telecom Infrastructure,4.3,-254,Telecom,Gurgaon / Gurugram,48 other locations,758,"Salary & Benefits, Skill Development / Learning",
Birla Tyres,3.5,-254,Auto Components,Kolkata,56 other locations,641,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Infineon Technologies,3.8,-254,Semiconductors,Bangalore / Bengaluru,7 other locations,2.3k,"Company Culture, Promotions / Appraisal, Work Satisfaction",
People Prime Worldwide,3.6,-254,Recruitment,Hyderabad / Secunderabad,4 other locations,1.4k,"Company Culture, Work Life Balance, Job Security",
Meenakshi Polymers,3.6,-254,Auto Components,Gurgaon / Gurugram,20 other locations,981,"Company Culture, Job Security, Work Life Balance",
Boston Scientific,3.8,-254,Healthcare,Gurgaon / Gurugram,17 other locations,1.6k,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
Online Legal India,4.4,-254,Other,Kolkata,7 other locations,56,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Cochin Shipyard,4.3,-253,Ports & Shipping,Kochi,15 other locations,1.1k,"Work Satisfaction, Company Culture, Skill Development / Learning",
Alivira Animal Health,4.1,-253,Pharma,Visakhapatnam,16 other locations,968,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
GS Engineering & Construction,3.8,-253,Engineering & Construction,Mumbai,19 other locations,687,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal
Etisalat,3.2,-253,Telecom,Dubai,14 other locations,1.1k,"Promotions / Appraisal, Job Security, Company Culture",
Indian Institute of Science,4.2,-253,Education & Training,Bangalore / Bengaluru,9 other locations,1.3k,"Promotions / Appraisal, Job Security, Salary & Benefits",
Vision Rx Lab,3.9,-253,Medical Equipment,Gurgaon / Gurugram,34 other locations,899,"Work Satisfaction, Work Life Balance",Promotions / Appraisal
Unicorn Infosolutions,3.3,-253,Retail,Mumbai,22 other locations,997,"Salary & Benefits, Company Culture, Work Satisfaction",
Vanderlande Industries,3.9,-253,Logistics,Pune,9 other locations,1.6k,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits, Job Security"
Netsmartz Infotech,3.5,-253,IT Services & Consulting,Chandigarh,7 other locations,1.2k,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Dhruv Research,3,-253,Management Consulting,Gurgaon / Gurugram,16 other locations,266,Company Culture,"Work Satisfaction, Promotions / Appraisal, Salary & Benefits"
El Seif Engineering Contracting,4.2,-252,Engineering & Construction,Riyadh,18 other locations,308,"Job Security, Skill Development / Learning, Promotions / Appraisal",
Ginesys,3.8,-252,Software Product,Kolkata,7 other locations,649,"Company Culture, Work Life Balance, Skill Development / Learning",
Richfeel Health & Beauty,2.8,-252,Beauty & Personal Care,Mumbai,39 other locations,607,"Company Culture, Work Life Balance, Work Satisfaction",
Easyday Club,4.5,-252,Retail,New Delhi,74 other locations,459,"Promotions / Appraisal, Salary & Benefits, Company Culture",
The KCP,4,-252,Building Material,Chennai,16 other locations,954,"Job Security, Skill Development / Learning, Company Culture","Promotions / Appraisal, Salary & Benefits"
Alchem International,3.9,-252,Pharma,Faridabad,23 other locations,919,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Allengers Medical Systems,3.6,-252,Medical Equipment,Chandigarh,40 other locations,1.1k,"Work Life Balance, Job Security, Work Satisfaction",
Piramal Finance,4.2,-253,NBFC,Mumbai,102 other locations,839,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Butterfly Gandhimathi Appliances,4,-252,Consumer Electronics & Appliances,Chennai,36 other locations,1k,"Company Culture, Job Security, Promotions / Appraisal",
Piramal Finance,4.2,-253,NBFC,Mumbai,102 other locations,839,"Work Life Balance, Company Culture, Work Satisfaction",
Vserv Infosystems,3.7,-252,IT Services & Consulting,New Delhi,45 other locations,1.1k,"Skill Development / Learning, Company Culture, Work Satisfaction",
Intech Organics,3.1,-252,Agro Chemicals,Gurgaon / Gurugram,18 other locations,1k,Job Security,Promotions / Appraisal
El Seif Engineering Contracting,4.2,-252,Engineering & Construction,Riyadh,18 other locations,308,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
MITA,3.8,-252,Industrial Machinery,Ghaziabad,11 other locations,883,"Promotions / Appraisal, Job Security, Salary & Benefits",
National Institute of Technology,4.3,-251,Education & Training,Bangalore / Bengaluru,39 other locations,1.3k,"Skill Development / Learning, Company Culture, Work Satisfaction",
GE Aviation,4.1,-251,Aviation,Pune,7 other locations,1.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Mobius Knowledge Services,3.4,-251,Printing & Publishing,Chennai,4 other locations,1.6k,"Job Security, Company Culture, Work Life Balance",
Rochem Separation Systems,3.5,-251,Industrial Machinery,Mumbai,27 other locations,1.1k,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Mahagun India,3.2,-251,Real Estate,Noida,6 other locations,972,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
Technique Control Facility Management,3.6,-251,Facility Management Services,Bangalore / Bengaluru,21 other locations,950,"Job Security, Work Life Balance, Work Satisfaction",
MAN Truck & Bus,2.9,-251,Automobile,Pune,20 other locations,873,"Promotions / Appraisal, Company Culture, Salary & Benefits",
Girmiti Software,3.8,-252,IT Services & Consulting,Bangalore / Bengaluru,2 other locations,1.4k,Salary & Benefits,"Promotions / Appraisal, Job Security, Company Culture"
Modi Mundi Pharma,3.8,-251,Pharma,New Delhi,41 other locations,529,"Job Security, Company Culture, Work Life Balance",
Shriram Properties,3.9,-251,Real Estate,Bangalore / Bengaluru,10 other locations,1.3k,"Company Culture, Job Security, Work Life Balance",
Weblink In,3.7,-251,IT Services & Consulting,New Delhi,10 other locations,913,"Job Security, Skill Development / Learning, Salary & Benefits",
MEDOPHARM,3.7,-251,Pharma,Chennai,19 other locations,1k,"Company Culture, Work Life Balance, Job Security",
Phoenix Contact,3.9,-251,Electronics Manufacturing,Faridabad,18 other locations,1.3k,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Joyson Safety Systems,3.9,-251,Auto Components,Chennai,12 other locations,1.1k,"Job Security, Salary & Benefits, Work Life Balance",
MEDOPHARM,3.7,-251,Pharma,Chennai,19 other locations,1k,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Phoenix Contact,3.9,-251,Electronics Manufacturing,Faridabad,18 other locations,1.3k,"Job Security, Salary & Benefits, Work Life Balance",
Weblink In,3.7,-251,IT Services & Consulting,New Delhi,10 other locations,913,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Joyson Safety Systems,3.9,-251,Auto Components,Chennai,12 other locations,1.1k,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
WizKlub,2.9,-251,EdTech,Bangalore / Bengaluru,15 other locations,780,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
FoodPanda,3.9,-250,Internet,Gurgaon / Gurugram,21 other locations,785,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
CapeStart,4.4,-250,IT Services & Consulting,Nagercoil,3 other locations,590,"Salary & Benefits, Company Culture, Work Satisfaction",
Fingent,4,-250,Software Product,Kochi,4 other locations,933,"Promotions / Appraisal, Salary & Benefits, Job Security",
Ricoh,3.7,-250,IT Services & Consulting,New Delhi,44 other locations,710,"Company Culture, Work Life Balance, Work Satisfaction",
Shivani Locks,3.7,-250,Industrial Machinery,Faridabad,11 other locations,1k,"Company Culture, Job Security, Work Satisfaction",
Century Pulp & Paper,3.9,-250,Pulp & Paper,Lalkuan,16 other locations,1.1k,"Promotions / Appraisal, Job Security",
MM Forgings,3.4,-250,Iron & Steel,Chennai,22 other locations,1.4k,,
Sentiss Pharma,3.6,-250,Pharma,Gurgaon / Gurugram,24 other locations,1k,Salary & Benefits,Promotions / Appraisal
Grauer & Weil (i),3.4,-250,Chemicals,Mumbai,27 other locations,1.1k,"Salary & Benefits, Work Life Balance, Company Culture",Promotions / Appraisal
Sahajanand Medical Technologies,3.6,-250,Medical Equipment,Surat,34 other locations,1.2k,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Saurav Chemicals,3.7,-250,Pharma,Chandigarh,12 other locations,975,"Job Security, Work Satisfaction, Company Culture",
Rajiv Gandhi Cancer Institute & Research Centre,4,-250,Healthcare,New Delhi,4 other locations,902,"Promotions / Appraisal, Job Security, Salary & Benefits",
Strada,3.5,-249,Hyderabad / Secunderabad +25 other locations,,,3.1k,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Corsearch,4,-249,IT Services & Consulting,Mumbai,4 other locations,317,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Lipi Data Systems,3.7,-250,Printing & Publishing,Udaipur,46 other locations,855,"Salary & Benefits, Promotions / Appraisal",
Sakra World Hospital,4.1,-249,Healthcare,Bangalore / Bengaluru,10 other locations,849,Job Security,"Promotions / Appraisal, Salary & Benefits"
Fresenius Medical Care,3.7,-249,Healthcare,Gurgaon / Gurugram,32 other locations,847,"Promotions / Appraisal, Company Culture, Work Satisfaction",
DigiTech Call System,2.8,-249,BPO,Noida,15 other locations,715,"Company Culture, Salary & Benefits, Work Satisfaction",
EGIS,4,-249,Power,Bangalore / Bengaluru,57 other locations,877,"Job Security, Skill Development / Learning",Work Life Balance
Ambey Mining,3.4,-249,Metals & Mining,Durgapur,22 other locations,861,"Skill Development / Learning, Company Culture, Job Security",
Cordova Publication,3.4,-249,Printing & Publishing,Noida,52 other locations,554,"Promotions / Appraisal, Salary & Benefits, Job Security",
Captain Fresh,3.9,-249,Food Processing,Bangalore / Bengaluru,26 other locations,1.2k,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
Pinkerton,3.8,-249,Law Enforcement & Security,Gurgaon / Gurugram,15 other locations,913,"Work Life Balance, Job Security",
MRO,3.1,-249,Clinical Research,Pune,,1.5k,"Job Security, Work Life Balance, Company Culture",
Renewsys India,4,-249,Power,Hyderabad / Secunderabad,15 other locations,1.2k,"Job Security, Promotions / Appraisal, Work Satisfaction",
Sumadhura Infracon,4,-249,Real Estate,Bangalore / Bengaluru,7 other locations,1.1k,"Company Culture, Job Security, Work Life Balance",
Mogli labs,3.4,-248,Internet,Noida,26 other locations,1.4k,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
Global Edge Software,3.4,-248,Software Product,Bangalore / Bengaluru,9 other locations,1.7k,"Skill Development / Learning, Work Life Balance, Company Culture",
Flipspaces,4.1,-248,Architecture & Interior Design,Mumbai,12 other locations,845,"Job Security, Promotions / Appraisal, Company Culture",
Paul Merchants,3.9,-248,NBFC,Chandigarh,79 other locations,555,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Reliance Cement Company,4.2,-248,Building Material,Maihar,31 other locations,740,"Work Satisfaction, Salary & Benefits, Work Life Balance","Promotions / Appraisal, Job Security"
Rehau Polymers,3.4,-248,Engineering & Construction,Pune,24 other locations,1k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Creamy foods,3.7,-248,Food Processing,Bulandshahr,41 other locations,865,"Promotions / Appraisal, Salary & Benefits, Job Security",
Karnataka Bank,3.7,-248,Banking,Bangalore / Bengaluru,62 other locations,1k,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
SasMos HET Technologies,3.8,-248,Electrical Equipment,Bangalore / Bengaluru,7 other locations,1.3k,"Company Culture, Promotions / Appraisal, Salary & Benefits",
Century Enka,4.1,-248,Fashion & Textile,Pune,13 other locations,868,"Company Culture, Job Security, Work Life Balance",
L&T Heavy Civil Infrastructure,4.2,-248,Engineering & Construction,Chennai,37 other locations,963,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",
Madras Radiators and Pressings Limited,3.7,-247,Auto Components,Chennai,11 other locations,370,"Skill Development / Learning, Work Life Balance, Company Culture",
Ocrolus East,3.4,-247,FinTech,Gurgaon / Gurugram,11 other locations,818,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Mitsubishi Elevators,4,-247,Industrial Machinery,Bangalore / Bengaluru,23 other locations,909,Work Life Balance,Promotions / Appraisal
Infiniti Software Solutions,4.5,-247,Software Product,Chennai,5 other locations,522,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
National Contracting Company,4,-247,Engineering & Construction,Chennai,21 other locations,624,"Work Life Balance, Company Culture, Skill Development / Learning",
Health Total,3.8,-247,Fitness & Wellness,Mumbai,12 other locations,567,Work Life Balance,"Promotions / Appraisal, Job Security"
Chubb,3.4,-247,Insurance,Hyderabad / Secunderabad,7 other locations,2.7k,"Company Culture, Skill Development / Learning, Work Life Balance",
Brinton Pharmaceuticals,4.3,-247,Pharma,Pune,38 other locations,545,"Job Security, Salary & Benefits, Skill Development / Learning",
Synergy Maritime,3.9,-247,Ports & Shipping,Chennai,13 other locations,1.2k,"Job Security, Salary & Benefits, Skill Development / Learning",
Weddingz.in,3.1,-247,Internet,Mumbai,32 other locations,970,"Skill Development / Learning, Job Security, Work Satisfaction",
Cargo Motors,3.9,-247,Automobile,Ahmedabad,22 other locations,839,"Job Security, Company Culture, Skill Development / Learning",
Trimble,3.9,-247,IT Services & Consulting,Chennai,15 other locations,2k,"Skill Development / Learning, Company Culture, Work Satisfaction",
Chain-Sys,3.2,-247,IT Services & Consulting,Chennai,9 other locations,2.1k,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Goldstone Cements,3.4,-247,Building Material,Guwahati,23 other locations,1k,"Skill Development / Learning, Work Life Balance, Work Satisfaction",
Wilo Mather and Platt Pumps,3.9,-247,Industrial Machinery,Pune,22 other locations,1.1k,"Promotions / Appraisal, Job Security, Company Culture",
Faber India,4.3,-247,Consumer Electronics & Appliances,Pune,53 other locations,948,"Company Culture, Work Life Balance, Skill Development / Learning",
AvenData GmbH,3.7,-247,IT Services & Consulting,Mumbai,3 other locations,621,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal
Fujitec,3.8,-247,Industrial Machinery,Chennai,26 other locations,1.2k,"Job Security, Skill Development / Learning, Company Culture",
RACL Geartech,4.2,-247,Auto Components,Noida,12 other locations,778,"Work Life Balance, Job Security, Salary & Benefits",
Hyperpure,3.4,-247,Gurgaon / Gurugram +35 other locations,,,925,"Company Culture, Job Security, Work Life Balance",
MBD GROUP,3.5,-246,Printing & Publishing,New Delhi,35 other locations,921,Promotions / Appraisal,
Terex,3.7,-246,Industrial Machinery,Bangalore / Bengaluru,17 other locations,1.4k,"Promotions / Appraisal, Company Culture, Salary & Benefits",
GTL Limited,4.2,-246,Hardware & Networking,Pune,38 other locations,584,Promotions / Appraisal,
British Airways,2.9,-246,Aviation,New Delhi,12 other locations,1.2k,"Promotions / Appraisal, Company Culture, Job Security",
VSynergize Outsourcing,3.3,-246,Marketing & Advertising,Pune,2 other locations,884,"Job Security, Company Culture, Work Life Balance",
Business Integrity Services,4.1,-246,Healthcare,Chennai,3 other locations,479,"Promotions / Appraisal, Salary & Benefits, Job Security",
Costa Cruise Lines,4.1,-246,Travel & Tourism,Mumbai,14 other locations,356,"Job Security, Skill Development / Learning, Work Satisfaction",
East African (I) Overseas Dehradun,4,-246,Pharma,Dehradun,10 other locations,712,"Company Culture, Work Life Balance, Salary & Benefits",
Vacmet India,4.1,-246,Packaging,Indore,15 other locations,1.1k,"Salary & Benefits, Skill Development / Learning, Work Life Balance",Job Security
Ketto,4.1,-246,Internet,Mumbai,6 other locations,703,"Promotions / Appraisal, Company Culture, Skill Development / Learning",
Bacardi,3.7,-246,Beverage,Gurgaon / Gurugram,55 other locations,917,"Company Culture, Salary & Benefits, Promotions / Appraisal",
Wavin,4,-246,Noida +51 other locations,,,727,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Bajaj Finserv Health,3.4,-246,Internet,Pune,35 other locations,1.5k,Job Security,"Promotions / Appraisal, Salary & Benefits"
DM Consultants,1.4,-246,Abu Dhabi +17 other locations,,,60,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal
Diffusion Engineers,4,-245,Industrial Machinery,Nagpur,32 other locations,631,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
L&T Water & Effluent Treatment,4.2,-245,Engineering & Construction,Chennai,57 other locations,303,"Job Security, Promotions / Appraisal, Salary & Benefits",
IIT Madras,4,-245,Education & Training,Chennai,8 other locations,1.1k,"Work Life Balance, Job Security",Promotions / Appraisal
Jspiders,3.7,-245,Education & Training,Bangalore / Bengaluru,16 other locations,543,"Work Life Balance, Company Culture, Skill Development / Learning",
Gujarat Gas,4,-245,Oil & Gas,Ahmedabad,42 other locations,899,"Promotions / Appraisal, Job Security, Salary & Benefits",
Utthunga Technologies,3.2,-245,Industrial Automation,Bangalore / Bengaluru,6 other locations,1.9k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
IDP IELTS,3.4,-245,Education & Training,Chennai,40 other locations,1.4k,"Job Security, Work Life Balance, Work Satisfaction",
SK E&C,4.4,-245,Engineering & Construction,Mumbai,37 other locations,485,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
United Alliance Technology,4.9,-245,IT Services & Consulting,Pune,6 other locations,27,"Salary & Benefits, Company Culture, Skill Development / Learning",
J. C. Penney,3.8,-245,Retail,Bangalore / Bengaluru,8 other locations,1.5k,"Job Security, Work Life Balance, Company Culture",
Welspun Global Brands,3.7,-245,Fashion & Textile,Mumbai,36 other locations,827,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Isc Projects,3.8,-245,Engineering & Construction,Pune,36 other locations,758,"Job Security, Skill Development / Learning, Work Satisfaction",
AAFT,4.1,-247,EdTech,Noida,7 other locations,467,"Promotions / Appraisal, Salary & Benefits",
Prepca Eduserv,4,-245,EdTech,Pune,2 other locations,175,"Company Culture, Salary & Benefits, Work Life Balance",
Hetero Biopharma,3.7,-244,Pharma,Hyderabad / Secunderabad,8 other locations,991,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Indo Count Industries,3.8,-244,Fashion & Textile,Mumbai,20 other locations,1.2k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Trackon Courier,3.5,-244,Logistics,New Delhi,61 other locations,939,"Salary & Benefits, Work Life Balance, Company Culture",
AISECT,3.7,-244,Education & Training,Bhopal,53 other locations,781,Skill Development / Learning,
Housejoy,4.2,-244,Facility Management Services,Bangalore / Bengaluru,16 other locations,498,"Salary & Benefits, Company Culture, Work Life Balance",
Turing,3,-244,Internet,Bangalore / Bengaluru,7 other locations,1.3k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Real Time Data Services,4.2,-244,IT Services & Consulting,Gurgaon / Gurugram,4 other locations,1.2k,"Skill Development / Learning, Company Culture","Job Security, Salary & Benefits"
Snowman Logistics,4.2,-244,Logistics,Bangalore / Bengaluru,25 other locations,928,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Bonn Group,3.8,-244,Food Processing,Ludhiana,26 other locations,935,Work Life Balance,"Promotions / Appraisal, Job Security"
RentoMojo,3.9,-244,Internet,Bangalore / Bengaluru,17 other locations,953,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",
Tatva Chintan Pharma Chem,3.7,-244,Chemicals,Ankleshwar,8 other locations,1.1k,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",
FICO,3.6,-243,Software Product,Bangalore / Bengaluru,5 other locations,2k,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
Government of Andhra Pradesh,3.8,-243,Government,Hyderabad / Secunderabad,65 other locations,1k,"Salary & Benefits, Work Life Balance, Company Culture",
Globus Infocom,4.3,-243,EdTech,Noida,28 other locations,594,Skill Development / Learning,
Allianz,4.4,-243,Insurance,Thiruvananthapuram,15 other locations,1.7k,"Job Security, Company Culture, Work Satisfaction",
DRA Homes,4.5,-243,Real Estate,Chennai,3 other locations,308,"Job Security, Company Culture, Skill Development / Learning",
Kharafi National,4.3,-243,Engineering & Construction,Chennai,19 other locations,315,"Work Life Balance, Company Culture, Work Satisfaction",
Media.net Software Services (India),3.5,-243,Marketing & Advertising,Mumbai,9 other locations,2k,"Company Culture, Skill Development / Learning, Salary & Benefits",
Shyam Steel Manufacturing,3.5,-243,Kolkata +38 other locations,,,829,"Job Security, Work Life Balance",Promotions / Appraisal
Coolberg Beverages,3.4,-243,Beverage,Mumbai,39 other locations,536,"Promotions / Appraisal, Job Security, Work Satisfaction",
greytHR,3.9,-243,Software Product,Bangalore / Bengaluru,15 other locations,1.1k,"Job Security, Work Life Balance, Promotions / Appraisal",
MTAR Technologies,3.9,-243,Industrial Machinery,Hyderabad / Secunderabad,4 other locations,1.1k,Promotions / Appraisal,
Rostfrei Steels,3.8,-243,Industrial Machinery,New Delhi,11 other locations,793,"Company Culture, Job Security, Skill Development / Learning",
Apna,3.3,-243,Recruitment,Bangalore / Bengaluru,19 other locations,1k,"Skill Development / Learning, Job Security, Work Life Balance",
